Serial number,text,unix timestamp (milliseconds),whisper_assigned_categories,country,region,Hate targets extracted from the whisper text,Hate categories assigned by us
3362,I'm so sick of white people thinking that every disease came from black people. look at your history bitches all that sick shit that went down in the past came from white people. you're welcome.,1413062030700,"Confessions,DIY and Home,LOL,Politics",United States,Georgia,white people,race
3363,I hate clingy people with a fucking passion,1413064246213,"NSFW,Politics",,,clingy people,behavior
3364,I hate popular people.,1413068388598,"DIY and Home,Politics",,,popular people,behavior
3365,I hate black people ,1413069694414,"DIY and Home,Politics",,,black people,race
3366,i honestly can't stand rude people.,1413072753011,"Confessions,DIY and Home,Politics",United States,Colorado,rude people,behavior
3367,I hate ugly people o_O ,1413073161184,"Confessions,DIY and Home,Politics",,,ugly people,physical
3368,"What is one thing you cannot stand?? 
Lately, I can't stand stupid people. ",1413073392947,"DIY and Home,LOL,Politics,Q and A",United States,Missouri,stupid people,other
3369,I hate ugly people,1413075920456,"Confessions,DIY and Home,Politics",,,ugly people,physical
3370,I hate fat people ,1413075971004,"Confessions,DIY and Home,Health and Wellness,Politics",United States,New Jersey,fat people,physical
3371,i hate emotional people dude just kill your self fucking maggots,1413078245915,"DIY and Home,LOL,Politics",,,emotional people,behavior
3372,"I hate lazy people. Seriously, you're fat and poor because you won't get off your ass and work. ",1413079131266,"LOL,NSFW,Politics,Work",,,lazy people,behavior
3373,I'm black but I don't like black people like I only hang and date white people,1413082866777,"Confessions,DIY and Home,Politics,Relationships",United States,Ohio,black people,race
3374,"I'm so sick of flaky people. like, get some dandruff shampoo for your personality. ",1413083164831,"Confessions,DIY and Home,LOL,Politics",United States,Oregon,flaky people,behavior
3375,Is it bad I hate black people but I live with one?,1413083472849,"Confessions,DIY and Home,Politics,Q and A,Sports",,,black people,race
3376,I hate flaky people,1413083502844,"DIY and Home,Politics",United States,Oregon,flaky people,behavior
3377,"    I hate stupid people 
",1413085647894,"Confessions,DIY and Home,Politics",,,stupid people,other
3378,"I look down on white people who try to speak Spanish at taco trucks.




You crackers make all of us look bad.  ",1413086567358,"DIY and Home,LOL,Politics,Sports",United States,Oregon,white people,race
3379,I don't like ugly people touching me. ,1413087163953,"Confessions,DIY and Home,Politics",United States,Wisconsin,ugly people,physical
3380,I hate racist people,1413092051258,"Confessions,DIY and Home,Politics",,,racist people,race
3381,I HATE HOMOPHOBIC people. They literally make the   Rudest comment. Do they want me to kill them .   I'm GAY COME AT ME!!!!!,1413092619063,,,,homophobic people,sexual_orientation
3382,I fucking hate judgmental people. ,1413092646877,"DIY and Home,Politics",United States,Minnesota,judgmental people,behavior
3383,I don't like sensitive people.,1413094975609,"Confessions,DIY and Home,Politics",United States,Washington,sensitive people,behavior
3384,I cry most days because I have been trying to get pregnant for 6 years...I actually hate pregnant people and sometimes wish them harm because I am so jealous,1413112948897,"Confessions,DIY and Home,Parenting,Politics",,,pregnant people,gender
3385, i hate racist people,1413115931268,"Confessions,DIY and Home,Politics",Malaysia,Selangor,racist people,race
3386,I hate black people,1413125617884,"DIY and Home,Politics",United States,North Carolina,black people,race
3387,I can't stand fat people,1413127693390,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
3388,I hate flaky people ,1413129464258,"Confessions,DIY and Home,Politics",,,flaky people,behavior
3389,I fucking hate white people ughhhh!!!,1413129707261,"DIY and Home,Politics",United States,North Carolina,white people,race
3390,I secretly hate religious people,1413132448141,"Confessions,DIY and Home,Faith,Politics",United States,Minnesota,religious people,religion
3391,I hate immature people. I will not tolerate it. Sorry. ,1413132843861,"Confessions,DIY and Home,Politics",,,immature people,behavior
3392,I HATE ignorant people 😡👎,1413139037458,"Confessions,DIY and Home,Politics",,,ignorant people,behavior
3393,My bestfriend who is female and married is becoming really jealous/clingy because I talk to a guy in class all the time. I don't like clingy people. ,1413139306966,"Confessions,DIY and Home,Politics,Relationships,School",,,clingy people,behavior
3394,I hate white people,1413142696075,"Confessions,DIY and Home,Politics",,,white people,race
3395,"I hate fake people
",1413142872131,,,,fake people,behavior
3396,I hate cheap people more than anything ,1413143813170,"DIY and Home,Politics",,,cheap people,behavior
3397,I hate black people,1413146777200,"DIY and Home,Politics",,,black people,race
3398,I hate old people. It makes me sick knowing I will someday be old too,1413146901325,"Confessions,DIY and Home,Politics",,,old people,physical
3399,I hate straight people,1413152434294,"DIY and Home,LGBTQ,Politics",,,straight people,sexual_orientation
3400,"i hate religious people! they cause so much suffering and injustice over some old books. they are neurologicly inferior, emotionaly imature, violent intolerant and extremely dangerous.",1413152512080,"DIY and Home,Faith,Politics",,,religious people,religion
3401,I don't like unreliable people. Which is why I give up usually on the second date with a woman. ,1413154416139,"Confessions,DIY and Home,Politics,Relationships",,,unreliable people,behavior
3402,I don't like gay people ,1413158355807,"Confessions,DIY and Home,LGBTQ,Politics",,,gay people,sexual_orientation
3403,I am very judgemental at times. I might keep my opinions for myself most of the time. But then I hate judgemental people.,1413159080782,"Confessions,DIY and Home,Health and Wellness,Politics",,,judgemental people,behavior
3404,"I hate racist people, do that make me racist?",1413159559455,"DIY and Home,Politics,Q and A",United States,California,racist people,race
3405,I just can't stand ungrateful people! They so bitch made! ,1413162034672,"Celebrities and Pop Culture,DIY and Home,Politics",,Saint Thomas Island,ungrateful people,behavior
3406,I hate selfish people with a burning passion ,1413162733800,"NSFW,Politics",United States,Texas,selfish people,behavior
3407,I hate cocky people.  ,1413165225291,"Confessions,DIY and Home,Politics",United States,Texas,cocky people,behavior
3408,I can't stand religious people,1413165485761,"Confessions,DIY and Home,Faith,Politics",,,religious people,religion
3409,I hate judgmental people go on somewhere else ,1413166403158,"DIY and Home,Politics",,,judgmental people,behavior
3410,I am so sick of stupid people being allowed to have microphones. ,1413168433305,"Confessions,DIY and Home,Politics",,,stupid people,other
3411,I hate homophobic people. I just find them so ignorant.,1413171119937,"Confessions,DIY and Home,Politics",,,homophobic people,sexual_orientation
3412,i hate popular people that think theyre all that when really theyre not. they just think theyre cool,1413171670821,"Confessions,DIY and Home,LOL,Politics",United States,North Carolina,popular people,behavior
3413,I loathe fake people ,1413171941247,"Confessions,DIY and Home,Politics",United States,Illinois,fake people,behavior
3414,"This is going to sound so terrible but... I can't stand stupid people. I'm fine with slightly unintelligent or even incorrect grammar.... But when it reaches a high level of stupidity, I'm done. ",1413175652620,"Confessions,DIY and Home,Politics",,,stupid people,other
3415,"I hate black people, and I really wish I didn't :(",1413175828099,"Confessions,DIY and Home,Politics",,,black people,race
3416,I hate popular people yet wanna be one but I'm to ugly ( me in pic ) ,1413176214959,,,,popular people,behavior
3417,I hate homophobic people,1413177106490,"DIY and Home,Politics",,,homophobic people,sexual_orientation
3418,I hate FAKE people.,1413177957905,"Confessions,DIY and Home,Politics",United States,Oklahoma,fake people,behavior
3419,"It annoys me how some people think of religion. No just because I'm Christian doesn't mean I hate gay people & no I don't think halloween is satanic etc, those people are extremists.",1413184714780,"Confessions,DIY and Home,Faith,LGBTQ,Politics",,,gay people,sexual_orientation
3420,I hate stingy people who are not willing to spend money on even a fucking god damn class project that would cost them 2.00$. ,1413185752504,"Confessions,DIY and Home,Faith,Money,Politics,School",,,stingy people,behavior
3421,"I hate religious people. They are so stupid. Science, bitch!",1413197989151,"Celebrities and Pop Culture,DIY and Home,Faith,Politics",Estonia,Tartumaa,religious people,religion
3422,"I hate old people on this app ;)
",1413208347134,Meet Up,Canada,Alberta,old people,physical
3423,I hate manipulative people with a passion ,1413212355740,"DIY and Home,Politics",,,manipulative people,behavior
3424,i hate rich people. i clean houses and i swear they are the laziest people i have ever met! ,1413215646504,"Confessions,DIY and Home,Fashion,Politics",United States,Pennsylvania,rich people,class
3425,I'm sick of ignorant people. ,1413220712857,,United States,,ignorant people,behavior
3426,"i haven't many friends, maybe two or four. 
i haven't many friends because i don't like fake people. the sad thing is, the most people are fake. 
i prefer to be alone or with my few friends.",1413225983688,"Confessions,DIY and Home,Politics,Relationships",,,fake people,behavior
3427,I hate stupid people  ,1413230999054,"Confessions,DIY and Home,Politics",,,stupid people,other
3428,I can't stand white people who act black! ,1413231929884,"DIY and Home,Politics",United States,Vermont,white people,race
3429,"I hate serious people. 
Like..Chill and smile",1413233501398,,,,serious people,behavior
3430,I hate stupid people.,1413233550770,"Confessions,DIY and Home,Politics",,,stupid people,other
3431,I don't like black people or black jellybeans,1413234956489,"DIY and Home,Politics",Canada,Alberta,black people,race
3432,I just hate black people ,1413235483763,"Confessions,DIY and Home,Politics",,,black people,race
3433,I can't stand stupid people ,1413237418882,"Confessions,DIY and Home,Politics",United States,California,stupid people,other
3434,I hate judgmental people ,1413238563726,"DIY and Home,Politics",,,judgmental people,behavior
3435,I hate fake people,1413238770659,"Confessions,DIY and Home,Politics",,,fake people,behavior
3436,"I hate fake people. Like, da fuq. ",1413243446213,,,,fake people,behavior
3437,"i hate fake people 
 and the tragedy is that i have a lot of them around me .....",1413243531379,"Confessions,DIY and Home,Politics",,,fake people,behavior
3438,I look down on popular people because they're dumb asses.,1413244764929,"DIY and Home,Politics",United States,Ohio,popular people,behavior
3439,I hate fat people and I don't feel bad about it at all,1413246689724,"Confessions,DIY and Home,Health and Wellness,Politics,Sports",,,fat people,physical
3440,I hate fake people... When I'm with my friend evann I try to be nice but I can't help it so I talk behind his back. But that's what he does so he is soooo fake,1413248174192,"Confessions,DIY and Home,Politics,Relationships,Sports",,,fake people,behavior
3441,I hate black people and I'm not ashamed,1413248907181,"Confessions,DIY and Home,Politics",,,black people,race
3442,I can't stand pretentious people but am almost exclusively attracted to pretentious people. It's a problem😆,1413249872493,"Confessions,DIY and Home,Politics",,,pretentious people,behavior
3443,I can't stand shallow people ,1413252872932,"Confessions,DIY and Home,Politics",,,shallow people,other
3444,I hate British  people because I hate how they think how much better they are compared to Americans ,1413256268910,"Confessions,DIY and Home,Politics",United States,Utah,british people,ethnicity
3445,Love how my husband brainwashed me to become a swinger....I hate ignorant people,1413256963803,"DIY and Home,Politics,Relationships,Sports",,,ignorant people,behavior
3446,I hate fake people. dont kaugh with him then when I come up you wanna be upset. Bitch get real or get on.,1413258553064,"Celebrities and Pop Culture,DIY and Home,LOL,Politics",United States,Georgia,fake people,behavior
3447,I hate black people when they talk about white people,1413258934593,"Confessions,DIY and Home,LOL,Politics",,,black people,race
3448,I fucking hate black people,1413267248482,"DIY and Home,Politics",,,black people,race
3449,I hate stupid people. I just got a new guy working for me and he is trying to tell me that when a person with Ebola dies that person becomes a zombie. ,1413273194625,"DIY and Home,Politics,Work",United States,Indiana,stupid people,other
3450,I'm sick of jealous people...!!,1413282205701,"Confessions,DIY and Home,Politics",,,jealous people,behavior
3451,I hate attractive people who use their looks to gain attention.,1413301537161,,,,attractive people,physical
3452, I don't like cocky people!!!!!!!,1413306235885,"Confessions,DIY and Home,Politics",,,cocky people,behavior
3453,I hate loud people 😔,1413307176489,"Confessions,DIY and Home,Politics",,,loud people,behavior
3454,I hate rude people! ,1413313631314,"DIY and Home,Politics",,,rude people,behavior
3455,"I hate rude people,it's like if you don't like me fuck off cause I don't have any more fucks to give",1413318002107,"Confessions,DIY and Home,Politics",,,rude people,behavior
3456,I hate gay people,1413320447868,"DIY and Home,LGBTQ,Politics",United States,Florida,gay people,sexual_orientation
3457,I hate fake people,1413322429690,"Confessions,DIY and Home,Politics",,,fake people,behavior
3458,"I'm sick of poor people 
",1413322668178,"Confessions,DIY and Home,Politics",,,poor people,class
3459,i hate black people ,1413323624413,,,,black people,race
3460,I hate fat people,1413325740401,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
3461,I have to start a new school but I don't like new people,1413327895816,"Confessions,DIY and Home,Politics,School",,,new people,other
3462,I don't like loud people or drama. Why do you have to be so crazy?,1413333046468,"Confessions,DIY and Home,LOL,Politics,Q and A",,,loud people,behavior
3463,I can't stand shy people,1413333137015,"Confessions,DIY and Home,Politics",United States,not_provided,shy people,behavior
3464,I fucken hate black people,1413334282001,"DIY and Home,Politics",United States,Arizona,black people,race
3465,I honestly hate fake people ,1413337570548,"Confessions,DIY and Home,Politics",,,fake people,behavior
3466,I hate black people  ,1413338206865,"DIY and Home,Politics",United States,California,black people,race
3467,I hate religious people. ,1413338564693,"Confessions,DIY and Home,Faith,Politics",United States,North Carolina,religious people,religion
3468,I hate white people,1413338747698,"Confessions,DIY and Home,Politics",United States,Florida,white people,race
3469,"My teacher the other day said gay people are disgusting, I walked out and slammed the door shut. I can't stand homophobic people.",1413339205335,"Confessions,DIY and Home,LGBTQ,Politics,School",,,homophobic people,sexual_orientation
3470,"I hate clingy people, can't I find someone who isn't emotionally wreaked for once? Is that too hard to ask..",1413339621391,,,,clingy people,behavior
3471,I hate happy people all in love and bullshit!!!! ,1413340477999,"DIY and Home,Politics",United States,Arkansas,happy people,behavior
3472,I hate immature people ,1413341921831,"Confessions,DIY and Home,Politics",United States,California,immature people,behavior
3473,I really can't stand fat people. I am fit myself and see fat people as lazy and slobish.,1413343491032,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
3474,I hate fat people with huge asses!,1413343782803,"DIY and Home,Health and Wellness,Politics",United States,Florida,fat people,physical
3475,I hate disrespectful people ,1413350926765,"Confessions,DIY and Home,Politics",United States,Massachusetts,disrespectful people,behavior
3476,I hate white people ,1413351966572,"Confessions,DIY and Home,Politics",,,white people,race
3477,I can't stand sexist people. ,1413354006304,"NSFW,Politics",,,sexist people,gender
3478,I hate racist people to me everyones equal ,1413355736271,"Confessions,DIY and Home,Politics",,,racist people,race
3479,I hate stupid people.  So much.  ,1413357504749,"DIY and Home,Politics",United States,Texas,stupid people,other
3480,I genuinely hate FAT people. They're lazy and gross..  and it makes me furious when they act like it's hereditary or somehow not their fault. ,1413379549063,"Confessions,DIY and Home,Politics",United States,West Virginia,fat people,physical
3481,I don't like negative people. ✌️😌,1413387098424,"Confessions,DIY and Home,Politics",,,negative people,behavior
3482,I can't stand ignorant people who deny all reason and science and remain religious.,1413399618523,"DIY and Home,Faith,Politics",United Kingdom,England,ignorant people,behavior
3483,I can't stand fake people,1413402568585,"Confessions,DIY and Home,Politics",United States,Oregon,fake people,behavior
3484,"no matter how much I hate stupid people, I hate jail just a lil bit more",1413404738441,"Confessions,DIY and Home,Politics",United States,Texas,stupid people,other
3485,I hate fat people  ,1413406383283,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Wisconsin,fat people,physical
3486,i hate fake people,1413407125354,"Confessions,DIY and Home,Politics",United States,Georgia,fake people,behavior
3487,I really hate fat people,1413414434122,"Confessions,DIY and Home,Health and Wellness,Politics",,沖縄県,fat people,physical
3488,"I hate fat people. Gain some self control and stop forcing the world to worship your fat lazy asses. 
Legitimate curves are one thing, but fat is unhealthy, NOT beautiful.",1413414555142,"DIY and Home,Health and Wellness,Politics",Russian Federation,Alaska,fat people,physical
3489,I hate dumb people who act like they are smart.,1413415086686,"Confessions,DIY and Home,Politics",,,dumb people,other
3490,I hate black people ,1413416478032,"DIY and Home,Politics",United States,Arkansas,black people,race
3491,I can't stand homophobic people,1413417392104,"DIY and Home,Politics",United Kingdom,England,homophobic people,sexual_orientation
3492,I hate gay people,1413417473504,"DIY and Home,LGBTQ,Politics",United States,North Carolina,gay people,sexual_orientation
3493,my boyfriend got fat. and it scares me coz I hate fat people...  ,1413420187270,"DIY and Home,Health and Wellness,Politics,Relationships",Canada,Alberta,fat people,physical
3494,I hate normal people haha,1413420558634,"DIY and Home,Politics",United States,California,normal people,behavior
3495,"I can't stand black people, messed up part is, I'm black myself.",1413422369234,"DIY and Home,Health and Wellness,Politics",United States,Nebraska,black people,race
3496,I don't like ugly people,1413422416461,"Confessions,DIY and Home,Politics",United States,Ohio,ugly people,physical
3497,I hate fat people so much.  I wish I could pop them like balloons,1413423027358,"Confessions,DIY and Home,Health and Wellness,Politics,Sports",,,fat people,physical
3498,"I swear I hate childish people....
 you grown act your fucking age!!!!! ",1413423149371,"DIY and Home,Fashion,LOL,Parenting,Politics",United States,Kentucky,childish people,behavior
3499,I hate religious people ,1413424114249,"Confessions,DIY and Home,Faith,Politics",United States,Kansas,religious people,religion
3500,"My secret is that i absolutely hate black people. I think there ignorant, loud and ghetto. they absolutely have no class they make themselves look bad. ",1413425018070,"Confessions,DIY and Home,Politics,School,Sports",,,black people,race
3501,I hate lazy people! and I'm dating one smh,1413425261774,"DIY and Home,Politics,Relationships",United States,Indiana,lazy people,behavior
3502,I hate white people,1413427112565,"Confessions,DIY and Home,Politics",United States,Texas,white people,race
3503,"I hate dramatic people, like go fuck yourself 😒",1413428908408,"DIY and Home,LOL,Politics",United States,New Jersey,dramatic people,behavior
3504,I hate fat people but I'm big myself ,1413430424482,"Confessions,DIY and Home,Health and Wellness,Politics",United States,West Virginia,fat people,physical
3505,I can't stand white people that act like they've never seen a black person before 😒 what are you scared of idiot,1413430950631,"Confessions,DIY and Home,LOL,Politics,Q and A",United States,New York,white people,race
3506,I hate black people im ashamed of it tho ; ( ,1413431737003,"DIY and Home,Politics",United States,California,black people,race
3507,all I want is some on to talk to that isn't dumb or ignorant...I hate stupid people! ,1413432268274,Meet Up,United States,Kansas,stupid people,other
3508,"I hate skinny people. They are always twitchy, always complain about being cold, are never any fun, always seem to have a cold and spend all their time counting calories and complaining about being fat. What a sad existence.",1413434164164,"DIY and Home,Politics",United States,Wisconsin,skinny people,physical
3509,I hate gay people. They are the most disgusting people in the world,1413463418777,"Confessions,DIY and Home,LGBTQ,Politics",Australia,New South Wales,gay people,sexual_orientation
3510,I hate white people,1413464166642,"Confessions,DIY and Home,Politics",United States,Minnesota,white people,race
3511,I HATE FAT PEOPLE... Especially the FAT MILITARY SPOUSES!!! Free gym membership you FATASS dependents with all the benefits because of their husbands. ,1413465241275,"Confessions,DIY and Home,Health and Wellness,LOL,Military,Politics,Sports",,沖縄県,fat people,physical
3512,"Honestly, I don't like fake people... Just be who u are n either I'll except that or not... if ur fake, I have no time for ur games! ",1413467907765,"Confessions,DIY and Home,Politics",United States,New York,fake people,behavior
3513,I can't stand ignorant people that cannot use words properly and no I'm not racist...,1413470148296,,,,ignorant people,behavior
3514,"I honestly HATE negative people..
Like if someone has a accomplishment they would like to share and you put them down..
I want to PUNCH you in the face👌👌",1413471606328,"DIY and Home,Politics",Australia,Western Australia,negative people,behavior
3515,"I HATE inconsiderate people. I see youre tired & wanna sleep, I LEAVE YOU ALONE. I ask you to let me take a nap cuz IM tired & you start talkin shit & the whole world comes to an end....SERIOUSLY?!!!!",1413476028536,Meet Up,United States,Virginia,inconsiderate people,behavior
3516,I hate stupid people ,1413483678322,"Confessions,DIY and Home,Politics",United States,Tennessee,stupid people,other
3517,I hate gay people,1413483731567,"DIY and Home,LGBTQ,Politics",United States,Virginia,gay people,sexual_orientation
3518,"I really can't stand 
Fat people who 
Eat for the sake 
Of eating ",1413488383478,"Confessions,DIY and Home,Food,Health and Wellness,Politics",United Kingdom,England,fat people,physical
3519,"I hate happy people, I'm not depressed just bitter and pessimistic ",1413491177553,"Confessions,DIY and Home,Health and Wellness,Politics",Ireland,Meath,happy people,behavior
3520,I really hate fake people. Like GTFO. ,1413492056185,"Confessions,DIY and Home,Politics",United States,Illinois,fake people,behavior
3521,I hate black people. Not all of them but the people that are jackasses!,1413493753255,"Confessions,DIY and Home,Politics",United States,Texas,black people,race
3522,I hate racist people ,1413495326195,"Confessions,DIY and Home,Politics",United States,New Mexico,racist people,race
3523,God I fucking hate flakey people!,1413501488050,"Confessions,DIY and Home,Faith,Politics",United States,California,flakey people,behavior
3524,I can't stand fat people.,1413503787528,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Colorado,fat people,physical
3525,I hate stupid people,1413509001675,"DIY and Home,Politics",United States,Maryland,stupid people,other
3526,i hate black people,1413511255375,"DIY and Home,Politics",United States,Texas,black people,race
3527,I really hate sexist people ,1413513476437,,United States,,sexist people,gender
3528,I hate judgmental people. No one is  perfect. People need to get over themselves :/,1413513974006,"Confessions,DIY and Home,Politics",United States,Florida,judgmental people,behavior
3529,"I don't like judgmental people. No one is perfect, so some people seriously need to get over themselves.  ",1413514343815,"Confessions,DIY and Home,Politics",United States,Florida,judgmental people,behavior
3530,I hate fake people....,1413523218225,"Confessions,DIY and Home,Politics",United States,Utah,fake people,behavior
3531,I hate phony people. ,1413524219925,Meet Up,United States,Maryland,phony people,behavior
3532,I hate straight people that make a big deal over gay rights when gay people don't even care as much. Why do you care? It doesn't effect you. ,1413526288418,"DIY and Home,LGBTQ,LOL,Politics,Q and A",United States,Minnesota,straight people,sexual_orientation
3533,I don't like mean people it's one of the biggest turn offs and looks don't matter I don't care if he/she is ugly they are nice I find myself using that line way too much ,1413527503325,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Texas,mean people,behavior
3534,"Since this is anonomyous I'm gonna put this out there, I fucking hate gay people, you make me sick and what you do just isn't natural. I'm entitled to my opinion and the freedom to express it.",1413550969333,"Confessions,DIY and Home,LGBTQ,LOL,Politics,Q and A",United States,Maryland,gay people,sexual_orientation
3535,I hate religious people that say god bless you but in the inside they're saying '' you know this bitch is going to hell for the way she dress'' hipocrite,1413553943349,"Confessions,DIY and Home,Faith,LOL,Politics",,,religious people,religion
3536,"you shouldn't worry about me hanging out with my ex because 
1. I don't like religious people 
2. he's young
3. I'm with you",1413563188999,"Confessions,DIY and Home,Faith,LOL,Politics,Relationships",,,religious people,religion
3537,"trying to keep an almost 3yr old quiet at 9am is almost impossible,  really people, get a freaking clue! I hate dumb people!",1413564119064,"Confessions,DIY and Home,Politics",,,dumb people,other
3538,I cannot stand sarcastic people on here.....so if your gonna be a prick....be like it to someone else....,1413566172859,"DIY and Home,LOL,Politics",,,sarcastic people,behavior
3539,I hate fat people ,1413570730819,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Missouri,fat people,physical
3540,I honestly hate stupid people with a passion,1413570747203,"DIY and Home,Politics",,,stupid people,other
3541,I really despise fake people and I must be in hell because all my neighbors are two faced,1413575728739,"Confessions,DIY and Home,Politics",,,fake people,behavior
3542,"I thought I was racist for a while. Then I realized I don't hate black people, I just hate ghetto people. ",1413575801846,"Confessions,DIY and Home,Politics",,,ghetto people,class
3543,I hate stupid people,1413589566519,"DIY and Home,Politics",United States,Texas,stupid people,other
3544,I can't stand Hispanic people who had been raised in Miami for their entire lives but speak like english is their second language. What's up with that stupid miami-Hispanic english. ,1413593812531,"DIY and Home,Politics",,,hispanic people,ethnicity
3545,I hate fake people ,1413595937513,"Confessions,DIY and Home,Politics",,,fake people,behavior
3546,I don't like sneaky people,1413596551689,"Confessions,DIY and Home,Politics",United States,Tennessee,sneaky people,behavior
3547,i hate unappreciative people.,1413601349237,"DIY and Home,Politics",United States,North Carolina,unappreciative people,behavior
3548,I don't like gay people,1413604643313,"Confessions,DIY and Home,LGBTQ,Politics",United States,Minnesota,gay people,sexual_orientation
3549,I can't stand insecure people 💁,1413612531505,"Confessions,DIY and Home,Politics",United States,Colorado,insecure people,behavior
3550,I hate stupid people! ,1413616808340,"DIY and Home,Politics",United States,California,stupid people,other
3551,I hate black people,1413617068706,"DIY and Home,Politics",,,black people,race
3552,I hate messy people that come into my life! Go to hell & clean up! ,1413617217801,"DIY and Home,Politics",United States,California,messy people,behavior
3553,I don't like racist people..because in my eyes we're all the same. ,1413622563791,"Confessions,DIY and Home,Politics",United States,California,racist people,race
3554,i hate fat people so much ,1413624451573,"Confessions,DIY and Home,Health and Wellness,Politics",United States,Arizona,fat people,physical
3555,I really don't like religious people,1413629798339,"Confessions,DIY and Home,Faith,Politics",United States,California,religious people,religion
3556,I hate black people and jews,1413636485957,"DIY and Home,Politics",Russian Federation,Dalarnas Län,black people,race
3557,I can't stand fake people. ,1413636706828,"Confessions,DIY and Home,Politics",United States,New Mexico,fake people,behavior
3558,I can't stand fake people.,1413636844670,"Confessions,DIY and Home,Politics",United States,New Mexico,fake people,behavior
3559,I HATE judgemental people,1413644933773,"DIY and Home,Politics",United States,Florida,judgemental people,behavior
3560,I'm sick of fake people!! ,1413650255123,"Confessions,DIY and Home,Politics",United States,Nevada,fake people,behavior
3561,I don't like shy people,1413656737002,"Confessions,DIY and Home,Politics",,Miranda,shy people,behavior
3562,I secretly hate fat people just because they're fat,1413659810067,,,,fat people,physical
3563,I hate racist people 😒✖️,1413664272284,"Confessions,DIY and Home,Politics",United States,North Carolina,racist people,race
3564,I hate black people,1413666721464,"DIY and Home,Politics",United States,Washington,black people,race
3565,I swear every weekend I hate drunk people more!!! Ugh I wanna move on and just fresh start!! Fucking hate my family! ,1413669836048,,,,drunk people,other
3566,I hate fat people.,1413670434526,"Confessions,DIY and Home,Health and Wellness,Politics",United States,New York,fat people,physical
3567,I am so sick of gay people. No one cares that your gay. I sure as hell don't. Your just people. Stop trying to shove it down people's throats like it makes you special or something.,1413672387200,"Confessions,DIY and Home,LGBTQ,LOL,Politics",Canada,British Columbia,gay people,sexual_orientation
3568,"I hate straight people.  
That's right, I'm heterophobic.",1413673421455,"DIY and Home,LGBTQ,Politics",United States,New York,straight people,sexual_orientation
3569,I hate negative people. ,1413677021155,"Confessions,DIY and Home,Politics",United States,Ohio,negative people,behavior
3570,I hate fake people especially fake friends,1413679102939,"Confessions,DIY and Home,Politics,Relationships",United States,Tennessee,fake people,behavior
3571,ugh. I hate stupid people -_- can you at least attempt to make an intelligible sentence?!,1413680085044,,,,stupid people,other
3572,I can't stand country people.,1413681619620,"Confessions,DIY and Home,Politics",,,country people,class
3573,God I hate stupid people!!,1413682926583,"Confessions,DIY and Home,Faith,Politics",United States,Louisiana,stupid people,other
3574,"I like black people, but I hate ghetto people 😡👊   ",1413683483981,"Confessions,DIY and Home,Politics",United States,Ohio,ghetto people,class
3575,I hate black people when they talk bad about white people,1413685302279,"Confessions,DIY and Home,LOL,Politics,Sports",United States,Georgia,black people,race
3576,I hate black people but love reggae music!,1413690565505,"Confessions,DIY and Home,Music,Politics",United States,California,black people,race
3577,I hate old people,1413694119585,"Confessions,DIY and Home,Politics",,,old people,physical
3578,I hate fat people,1413694440038,"Confessions,DIY and Home,Health and Wellness,Politics",,,fat people,physical
3579,"I don't like gay people. I'm sorry, but you all annoy the hell out of me. Stop being so bitchy about stupid shit! You gays are honest to everyone, so I'll be honest. Fucking stop acting like a big fucking jerk!",1413705379008,"Confessions,DIY and Home,LGBTQ,LOL,Politics",United States,California,gay people,sexual_orientation
3580,"I hate black people,I hate Mexicans, I hate gay marriage, I hate how everyone thinks they can take my guns away. I'm southern and this is how I was raised. Fuck you if you have a problem.",1413708122094,"Confessions,DIY and Home,LGBTQ,LOL,Politics",United States,Arizona,black people,race
3581,"I hate homeless people ... Just sitting there with a dog, a sudoku and a Starbucks coffee. 
Pisses me off. ",1413716615794,,,,homeless people,class
3582,"When the fakest person you know says ""I hate fake people""..",1413717208963,,,,fake people,behavior
3583,I do hate BLACK PEOPLE. They are so just so loud and never follow any rules. ,1413720360561,"DIY and Home,Politics",,沖縄県,black people,race
3584,I hate old people,1413720412052,"Confessions,DIY and Home,Politics",United States,North Carolina,old people,physical
3585,I hate pretty people. They make me feel ugly,1413726231754,"Confessions,DIY and Home,Politics",Canada,Ontario,pretty people,physical
3586,"I hate religious people !!! 
Keep your imaginary friend to yourself !!!",1413741674202,"DIY and Home,Faith,LOL,Politics,Relationships",Canada,Alberta,religious people,religion
3587,I hate British people. Their accents make me want to puke. ,1413743167079,"DIY and Home,Politics",United States,California,british people,ethnicity
3588,I hate fat people.,1413748537269,"Confessions,DIY and Home,Health and Wellness,Politics",United States,not_provided,fat people,physical
3589,I hate rude people ,1413752887437,"Confessions,DIY and Home,Politics",Portugal,Aveiro,rude people,behavior
3590,I hate stupid people who think being gay is a sin. ITS NOT DUMBASS!,1413753456989,"DIY and Home,LGBTQ,Politics,Sports",United States,Missouri,stupid people,other
